User,From,To,Start,End
6110,27,20,8/21/2019 6:11,8/21/2019 6:43
1372,30,28,8/21/2019 15:05,8/21/2019 15:59
6407,27,24,8/21/2019 10:41,8/21/2019 11:07
6772,27,21,8/21/2019 12:41,8/21/2019 13:17
7760,21,31,8/21/2019 20:26,8/21/2019 20:37
1660,25,22,8/21/2019 14:15,8/21/2019 15:04
6523,24,27,8/21/2019 14:04,8/21/2019 14:04
4323,21,28,8/21/2019 13:58,8/21/2019 13:48
9102,27,21,8/21/2019 7:45,8/21/2019 8:22
8607,31,21,8/21/2019 9:38,8/21/2019 9:51
9796,27,21,8/21/2019 16:36,8/21/2019 17:05
2272,20,28,8/21/2019 11:49,8/21/2019 12:12
6795,26,23,8/21/2019 10:55,8/21/2019 11:12
6871,24,31,8/21/2019 12:55,8/21/2019 13:23
1754,21,27,8/21/2019 11:03,8/21/2019 11:46
1588,33,30,8/21/2019 23:26,8/21/2019 23:31
3170,32,29,8/21/2019 23:18,8/21/2019 23:25
3080,31,32,8/21/2019 20:18,8/21/2019 20:25
1767,25,28,8/21/2019 2:33,8/21/2019 2:58
1899,27,27,8/21/2019 18:44,8/21/2019 18:52
6239,32,20,8/21/2019 7:17,8/21/2019 7:31
8145,30,28,8/21/2019 11:52,8/21/2019 12:07
1539,25,27,8/21/2019 13:31,8/21/2019 14:25
3506,20,24,8/21/2019 9:49,8/21/2019 10:38
3258,24,22,8/21/2019 3:32,8/21/2019 4:02
2084,24,31,8/21/2019 20:57,8/21/2019 21:56
3313,26,32,8/21/2019 11:59,8/21/2019 12:44
2774,23,29,8/21/2019 0:13,8/21/2019 0:39
3012,26,33,8/21/2019 7:18,8/21/2019 8:13
5284,25,32,8/21/2019 15:21,8/21/2019 16:04
1139,25,31,8/21/2019 17:25,8/21/2019 17:32
